env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 8.0714 9.2143 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 -250 -2 -4
2 3 0 0 -264 0 0
2 4 0 0 -246 11 -11
2 5 0 0 -252 -6 -15
2 6 0 0 -238 11 -13
2 7 0 0 -242 -13 -17
2 8 0 0 -245 9 -12
2 9 0 0 -238 -12 -9
2 10 0 0 -250 12 -17
2 11 0 0 -238 -11 -8
2 12 0 0 -258 13 -18
2 13 0 0 -242 -10 -7
2 14 0 0 -264 13 -18
2 15 0 0 -247 -10 -7
2 16 0 0 -271 13 -19
2 17 0 0 -253 -11 -7
2 18 0 0 -278 13 -19
2 19 0 0 -259 -11 -6
2 20 0 0 -285 13 -19
2 21 0 0 -267 -11 -6
2 22 0 0 -293 13 -20
2 23 0 0 -274 -11 -6
2 24 0 0 -302 13 -20
2 25 0 0 -282 -11 -6
2 26 0 0 -310 13 -20
2 27 0 0 -291 -11 -6
2 28 0 0 -319 13 -20
2 29 0 0 -299 -11 -5
2 30 0 0 -328 13 -21
2 31 0 0 -308 -11 -5
2 32 0 0 -336 14 -21
2 33 0 0 -316 -11 -5
2 34 0 0 -345 14 -21
2 35 0 0 -324 -11 -5
2 36 0 0 -352 15 -21
2 37 0 0 -332 -10 -5
2 38 0 0 -359 15 -21
2 39 0 0 -339 -10 -5
2 40 0 0 -366 16 -21
2 41 0 0 -345 -10 -5
2 42 0 0 -371 16 -21
2 43 0 0 -351 -9 -5
2 44 0 0 -376 17 -21
2 45 0 0 -357 -9 -6
2 46 0 0 -381 18 -21
2 47 0 0 -361 -9 -6
2 48 0 0 -384 18 -21
2 49 0 0 -389 -2 22
2 50 0 0 -406 0 16
2 51 0 0 -369 -9 -7
2 52 0 0 -388 20 -19
2 53 0 0 -376 -11 -11
2 54 0 0 -387 21 -19
2 55 0 0 -378 -11 -14
2 56 0 0 -379 12 -14
2 57 0 0 -386 -21 -19
2 58 0 0 -370 8 -7
2 59 0 0 -387 -19 -21
2 60 0 0 -366 8 -6
2 61 0 0 -385 -18 -21
2 62 0 0 -362 9 -5
2 63 0 0 -381 -17 -21
2 64 0 0 -355 10 -4
2 65 0 0 -375 -15 -22
2 66 0 0 -346 11 -4
2 67 0 0 -368 -13 -22
2 68 0 0 -336 12 -4
2 69 0 0 -357 -12 -22
2 70 0 0 -322 13 -4
2 71 0 0 -344 -11 -22
2 72 0 0 -306 14 -4
2 73 0 0 -329 -12 -22
2 74 0 0 -301 12 -6
2 75 0 0 -316 -13 -17
2 76 0 0 -320 16 -19
2 77 0 0 -299 -9 -5
2 78 0 0 -328 14 -21
2 79 0 0 -307 -11 -4
2 80 0 0 -335 15 -21
2 81 0 0 -316 -10 -6
2 82 0 0 -341 15 -21
2 83 0 0 -322 -10 -5
2 84 0 0 -344 18 -18
2 85 0 0 -337 -14 -14
2 86 0 0 -341 18 -17
2 87 0 0 -334 -10 -12
2 88 0 0 -338 16 -15
2 89 0 0 -333 -12 -14
2 90 0 0 -339 10 -14
2 91 0 0 -333 -16 -8
2 92 0 0 -340 11 -18
2 93 0 0 -342 -18 -15
2 94 0 0 -351 7 -16
2 95 0 0 -348 -11 -12
2 96 0 0 -371 1 1
2 97 0 0 -408 14 14
3 2 0 0 -241 23 -17
3 3 0 0 -275 -3 -9
3 4 0 0 -279 -15 -3
3 5 0 0 -273 10 -14
3 6 0 0 -276 -7 0
3 7 0 0 -270 10 -15
3 8 0 0 -283 -4 9
3 9 0 0 -282 -2 9
3 10 0 0 -278 -15 -15
3 11 0 0 -284 4 8
3 12 0 0 -283 -16 -15
3 13 0 0 -289 5 9
3 14 0 0 -289 -17 -15
3 15 0 0 -295 5 9
3 16 0 0 -296 -18 -16
3 17 0 0 -301 5 9
3 18 0 0 -303 -19 -16
3 19 0 0 -309 5 9
3 20 0 0 -311 -19 -16
3 21 0 0 -317 5 9
3 22 0 0 -320 -20 -17
3 23 0 0 -325 5 10
3 24 0 0 -328 -20 -17
3 25 0 0 -334 5 10
3 26 0 0 -337 -21 -18
3 27 0 0 -343 5 10
3 28 0 0 -346 -21 -18
3 29 0 0 -352 5 9
3 30 0 0 -355 -21 -19
3 31 0 0 -361 6 9
3 32 0 0 -364 -21 -19
3 33 0 0 -370 6 9
3 34 0 0 -372 -21 -19
3 35 0 0 -378 7 9
3 36 0 0 -379 -21 -20
3 37 0 0 -386 7 9
3 38 0 0 -386 -21 -20
3 39 0 0 -393 8 8
3 40 0 0 -393 -20 -20
3 41 0 0 -399 9 8
3 42 0 0 -398 -20 -20
3 43 0 0 -405 9 7
3 44 0 0 -403 -19 -21
3 45 0 0 -409 10 7
3 46 0 0 -407 -18 -21
3 47 0 0 -413 11 6
3 48 0 0 -410 -18 -21
3 49 0 0 -416 11 5
3 50 0 0 -413 -17 -21
3 51 0 0 -418 13 3
3 52 0 0 -414 -16 -21
3 53 0 0 -418 15 0
3 54 0 0 -415 -15 -20
3 55 0 0 -420 23 3
3 56 0 0 -420 -23 1
3 57 0 0 -415 16 -20
3 58 0 0 -420 -15 4
3 59 0 0 -414 17 -21
3 60 0 0 -418 -12 5
3 61 0 0 -412 18 -21
3 62 0 0 -415 -10 6
3 63 0 0 -408 19 -21
3 64 0 0 -410 -9 8
3 65 0 0 -402 21 -21
3 66 0 0 -402 -7 9
3 67 0 0 -394 23 -20
3 68 0 0 -391 -5 8
3 69 0 0 -384 26 -21
3 70 0 0 -377 -2 10
3 71 0 0 -370 28 -20
3 72 0 0 -360 0 11
3 73 0 1 -351 25 -20
3 74 0 2 -349 0 10
3 75 0 3 -344 8 -3
3 76 0 6 -338 -16 -19
3 77 0 9 -348 6 8
3 78 0 13 -351 -22 -19
3 79 0 19 -360 7 9
3 80 0 26 -360 -21 -19
3 81 0 35 -368 9 7
3 82 0 44 -367 -19 -18
3 83 0 54 -375 10 8
3 84 0 65 -371 -18 -18
3 85 0 74 -375 16 -4
3 86 0 83 -378 -15 -8
3 87 0 90 -382 20 4
3 88 0 95 -382 -14 1
3 89 0 98 -383 18 3
3 90 0 100 -386 -14 7
3 91 0 101 -387 8 3
3 92 0 100 -379 -16 -6
3 93 0 98 -386 5 -2
3 94 0 94 -377 -14 -15
3 95 0 90 -385 20 -6
3 96 0 84 -386 2 -6
3 97 0 0 -383 -6 -3
4 2 0 0 -270 -7 -6
4 3 0 0 -251 0 -6
4 72 0 0 0 0 0
4 73 0 1 0 0 0
4 74 0 2 0 0 0
4 75 0 4 0 0 0
4 76 0 6 0 0 0
4 77 0 10 0 0 0
4 78 0 15 0 0 0
4 79 0 21 0 0 0
4 80 0 30 0 0 0
4 81 0 40 0 0 0
4 82 0 51 0 0 0
4 83 0 62 0 0 0
4 84 0 74 0 0 0
4 85 0 85 0 0 0
4 86 0 96 0 0 0
4 87 0 105 0 0 0
4 88 0 112 0 0 0
4 89 0 117 0 0 0
4 90 0 121 0 0 0
4 91 0 122 0 0 0
4 92 0 122 0 0 0
4 93 0 121 0 0 0
4 94 0 117 0 0 0
4 95 0 112 0 0 0
4 96 0 105 -357 27 -6
4 97 0 0 -384 -4 17
5 2 0 0 -275 -3 0
5 3 0 0 -282 5 7
5 4 0 0 -266 -10 -4
5 6 0 0 -276 -5 -5
5 8 0 0 -278 -5 -9
5 10 0 0 -286 -6 -5
5 12 0 0 -291 -8 -5
5 14 0 0 -297 -9 -5
5 16 0 0 -304 -10 -5
5 18 0 0 -311 -11 -5
5 21 0 0 -320 -12 -5
5 23 0 0 -328 -13 -5
5 25 0 0 -337 -13 -6
5 27 0 0 -346 -13 -6
5 29 0 0 -355 -13 -6
5 31 0 0 -365 -13 -6
5 33 0 0 -373 -12 -7
5 35 0 0 -382 -12 -7
5 37 0 0 -390 -11 -7
