env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 0.7857 7.2143 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 0 0 0
2 3 0 0 0 0 0
2 4 0 0 0 0 0
2 5 0 0 0 0 0
2 6 0 0 0 0 0
2 7 0 0 0 -1 0
2 8 0 0 0 -1 0
2 9 0 0 0 -1 0
2 10 0 0 0 -1 0
2 11 0 0 0 -2 0
2 12 0 0 0 -2 0
2 13 0 0 0 -2 0
2 14 0 0 0 -2 0
2 15 0 11 0 -3 0
2 16 0 0 0 -3 0
2 17 0 0 0 -4 0
2 18 0 0 0 -4 1
2 19 0 0 0 -4 -1
2 20 0 71 0 -5 1
2 21 0 0 0 -5 -1
2 22 0 0 0 -6 1
2 23 0 0 0 -6 -1
2 24 0 0 0 -7 1
2 25 0 735 0 -8 -1
2 26 0 0 0 -8 2
2 27 0 0 0 -9 -2
2 28 0 0 0 -10 2
2 29 0 0 0 -11 -2
2 30 0 2799 0 -12 3
2 31 0 0 0 -13 -2
2 32 0 0 0 -14 3
2 33 0 0 0 -15 -3
2 34 0 0 0 -16 4
2 35 0 6126 0 -17 -3
2 36 0 0 0 -19 5
2 37 0 0 0 -20 -4
2 38 0 0 0 -22 5
2 39 0 0 0 -23 -4
2 40 0 10460 0 -25 6
2 41 0 0 0 -27 -5
2 42 0 0 0 -28 7
2 43 0 0 0 -30 -6
2 44 0 0 0 -32 8
2 45 0 15130 0 -34 -7
2 46 0 0 0 -36 9
2 47 0 0 0 -38 -7
2 48 0 0 0 -40 10
2 49 0 0 0 -42 -8
2 50 0 17141 0 -44 10
2 51 0 0 0 -46 -9
2 52 0 0 1 -48 11
2 53 0 0 0 -49 -10
2 54 0 0 1 -51 12
2 55 0 18494 0 -52 -10
2 56 0 0 1 -54 13
2 57 0 0 0 -55 -11
2 58 0 0 1 -57 13
2 59 0 0 0 -58 -11
2 60 0 19749 1 -59 13
2 61 0 0 0 -59 -11
2 62 0 0 1 -60 14
2 63 0 0 0 -60 -11
2 64 0 0 1 -61 13
2 65 0 29900 0 -60 -12
2 66 0 0 0 -61 14
2 67 0 0 0 -59 -12
2 68 0 0 0 -59 13
2 69 0 0 0 -57 -12
2 70 0 22862 0 -57 13
2 71 0 0 0 -55 -11
2 72 0 0 0 -54 12
2 73 0 0 0 -51 -11
2 74 0 0 0 -51 12
2 75 0 3600 0 -48 -11
2 76 0 0 0 -47 11
2 77 0 0 0 -43 -10
2 78 0 0 0 -42 9
2 79 0 0 0 -39 -9
2 80 0 41 0 -37 8
2 81 0 0 0 -34 -8
2 82 0 0 0 -33 7
2 83 0 0 0 -29 -7
2 84 0 0 0 -28 6
2 85 0 0 0 -25 -6
2 86 0 0 0 -23 5
2 87 0 0 0 -20 -5
2 88 0 0 0 -18 4
2 89 0 0 0 -16 -4
2 90 0 0 0 -14 3
2 91 0 0 0 -12 -3
2 92 0 0 0 -9 2
2 93 0 0 0 -7 -2
2 94 0 0 0 -5 1
2 95 0 0 0 -4 -1
2 96 0 0 0 -2 0
2 97 0 0 0 0 0
3 2 0 0 0 0 0
3 3 0 0 0 0 0
3 4 0 0 0 0 0
3 5 0 0 0 0 0
3 6 0 0 0 0 0
3 7 0 0 0 -1 0
3 8 0 0 0 -1 0
3 9 0 1 0 -1 0
3 10 0 3 0 -1 0
3 11 0 5 0 -2 0
3 12 0 10 0 -2 0
3 13 0 16 0 -2 0
3 14 0 24 0 -2 0
3 15 0 36 0 -3 0
3 16 0 55 0 -3 0
3 17 0 83 1 -4 0
3 18 0 120 0 -4 0
3 19 0 170 1 -4 0
3 20 0 241 0 -5 0
3 21 0 338 1 -5 0
3 22 0 471 0 -6 0
3 23 0 648 1 -6 0
3 24 0 881 0 -7 0
3 25 0 1178 2 -8 0
3 26 0 1554 0 -8 0
3 27 0 2014 2 -9 0
3 28 0 2556 0 -10 0
3 29 0 3179 2 -11 0
3 30 0 3884 0 -11 0
3 31 0 4657 3 -13 0
3 32 0 5492 0 -13 0
3 33 0 6389 3 -15 0
3 34 0 7423 0 -16 0
3 35 0 8426 4 -18 0
3 36 0 9470 0 -18 0
3 37 0 10546 4 -20 0
3 38 0 11726 -1 -21 0
3 39 0 12892 5 -23 0
3 40 0 14020 -1 -25 0
3 41 0 15136 6 -27 0
3 42 0 16159 -1 -28 0
3 43 0 17344 6 -30 0
3 44 0 18973 -1 -32 0
3 45 0 19948 7 -34 0
3 46 0 20780 -2 -36 0
3 47 0 20904 8 -38 1
3 48 0 21738 -2 -40 0
3 49 0 22433 8 -42 1
3 50 0 23124 -3 -44 0
3 51 0 23876 9 -46 1
3 52 0 24481 -3 -48 0
3 53 0 25407 9 -50 1
3 54 0 26314 -4 -51 -1
3 55 0 27066 9 -53 1
3 56 0 27559 -5 -55 -1
3 57 0 27751 9 -56 1
3 58 0 27717 -5 -57 -1
3 59 0 28245 9 -58 1
3 60 0 28773 -6 -59 -1
3 61 0 30197 9 -60 1
3 62 0 32787 -7 -61 -1
3 63 0 36074 8 -61 1
3 64 0 40669 -7 -61 -1
3 65 0 42360 8 -61 1
3 66 0 41562 -8 -61 -1
3 67 0 39071 7 -60 1
3 68 0 40871 -8 -60 -1
3 69 0 42518 6 -58 1
3 70 0 41990 -9 -58 -1
3 71 0 37500 5 -56 1
3 72 0 29722 -9 -55 -1
3 73 0 21067 4 -53 0
3 74 0 13695 -9 -51 -1
3 75 0 8046 3 -49 0
3 76 0 4357 -9 -47 -1
3 77 0 2333 2 -44 0
3 78 0 1290 -9 -42 -1
3 79 0 682 2 -39 0
3 80 0 319 -8 -38 -1
3 81 0 126 1 -34 0
3 82 0 41 -7 -33 -1
3 83 0 10 0 -30 0
3 84 0 0 -7 -28 0
3 85 0 0 0 -25 0
3 86 0 0 -6 -23 0
3 87 0 0 0 -20 0
3 88 0 0 -5 -19 0
3 89 0 0 0 -15 0
3 90 0 0 -4 -14 0
3 91 0 0 0 -11 0
3 92 0 0 -4 -10 0
3 93 0 0 -1 -7 0
3 94 0 0 -3 -6 0
3 95 0 0 -1 -3 0
3 96 0 0 -2 -2 0
3 97 0 0 -2 0 0
