env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 6.2143 7.0714 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 -618 7 -7
2 3 0 0 -608 7 12
2 4 0 0 -585 -2 12
2 5 0 0 -585 10 4
2 6 0 0 -576 -7 2
2 7 0 0 -576 6 2
2 8 0 0 -577 -7 2
2 9 0 0 -577 7 2
2 10 0 0 -578 -8 2
2 11 0 0 -579 7 2
2 12 0 0 -580 -8 2
2 13 0 0 -580 7 2
2 14 0 0 -581 -8 1
2 15 0 0 -582 7 2
2 16 0 0 -583 -8 1
2 17 0 0 -583 7 2
2 18 0 0 -585 -8 1
2 19 0 0 -585 7 2
2 20 0 0 -586 -8 1
2 21 0 0 -587 7 2
2 22 0 0 -588 -8 1
2 23 0 0 -588 7 1
2 24 0 0 -589 -8 1
2 25 0 0 -590 7 1
2 26 0 0 -591 -8 1
2 27 0 0 -591 7 1
2 28 0 0 -592 -8 1
2 29 0 0 -593 7 1
2 30 0 0 -594 -8 1
2 31 0 0 -594 7 1
2 32 0 0 -595 -8 1
2 33 0 0 -596 7 1
2 34 0 0 -597 -8 1
2 35 0 0 -598 6 1
2 36 0 0 -599 -8 1
2 37 0 0 -600 6 1
2 38 0 0 -602 -9 1
2 39 0 0 -604 5 1
2 40 0 0 -606 -10 0
2 41 0 0 -609 5 0
2 42 0 0 -612 -11 0
2 43 0 0 -615 4 0
2 44 0 0 -619 -12 0
2 45 0 0 -623 3 0
2 46 0 0 -629 -13 0
2 47 0 0 -633 2 0
2 48 0 0 -641 -15 0
2 49 0 0 -646 1 0
2 50 0 0 -657 -18 0
2 51 0 0 -663 0 0
2 52 0 0 -677 -21 -1
2 53 0 0 -684 -1 0
2 54 0 0 -701 -25 -1
2 55 0 0 -709 -4 0
2 56 0 0 -733 -31 -3
2 57 0 0 -741 -7 -1
2 58 0 0 -769 -37 -4
2 59 0 0 -778 -10 0
2 60 0 0 -816 -44 -5
2 61 0 0 -822 -15 0
2 62 0 0 -869 -51 -7
2 63 0 0 -872 -18 -3
2 64 0 0 -933 -54 -8
2 65 0 0 -940 -15 -9
2 66 0 0 -999 -54 -7
2 67 0 0 -951 -23 7
2 68 0 0 -1003 -29 2
2 69 0 0 -1018 -17 -4
2 70 0 0 -1066 15 20
2 76 0 0 2 -2 1
2 77 0 0 3 -26 -4
2 78 0 0 4 -53 15
2 79 0 0 4 -72 -18
2 80 0 273 3 -95 23
2 81 0 0 1 -99 -22
2 82 0 0 1 -110 27
2 83 0 0 0 -109 -22
2 84 0 0 1 -115 25
2 85 0 494 -1 -110 -19
2 86 0 0 0 -108 24
2 87 0 0 -1 -99 -18
2 88 0 0 0 -95 22
2 89 0 0 0 -84 -17
2 90 0 270 0 -78 16
2 91 0 0 -1 -66 -13
2 92 0 0 -1 -56 11
2 93 0 0 -1 -44 -11
2 94 0 0 -1 -33 6
2 95 0 296 -1 -23 -6
2 96 0 0 -1 -13 2
2 97 0 0 -4 -1 0
3 2 0 0 -648 11 -6
3 3 0 0 -632 -11 -18
3 4 0 0 -620 -22 -26
3 5 0 0 -614 7 -28
3 6 0 0 -619 -20 -31
3 7 0 0 -618 15 -29
3 8 0 0 -620 -19 -30
3 9 0 0 -620 17 -30
3 10 0 0 -621 -20 -30
3 11 0 0 -622 17 -29
3 12 0 0 -622 -19 -30
3 13 0 0 -623 17 -30
3 14 0 0 -624 -20 -30
3 15 0 0 -624 17 -30
3 16 0 0 -626 -20 -30
3 17 0 0 -626 17 -30
3 18 0 0 -627 -20 -30
3 19 0 0 -628 17 -30
3 20 0 0 -629 -20 -30
3 21 0 0 -629 17 -30
3 22 0 0 -631 -20 -30
3 23 0 0 -631 17 -30
3 24 0 0 -632 -20 -30
3 25 0 0 -633 17 -30
3 26 0 0 -634 -20 -30
